                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98341,                 1.6379,                 1.1863,                0.89556,                  0.766,                0.84326,                0.66986,                0.78555,                0.66104,                 1.0231,              0.0033251,              0.0033251,              0.0033251
                      2,                0.91382,                0.82547,                 1.1352,                0.86396,                  0.742,                0.83021,                0.63357,                0.88961,                0.78772,                  1.067,              0.0065266,              0.0065266,              0.0065266
                      3,                 1.0866,                 1.0213,                 1.2287,                0.71265,                0.55057,                0.59791,                0.40033,                 1.3633,                 1.6564,                 1.4055,              0.0095961,              0.0095961,              0.0095961
                      4,                 1.1515,                 1.0945,                 1.2762,                0.84044,                  0.782,                0.82143,                0.59968,                  1.002,                0.83822,                 1.1651,               0.009406,               0.009406,               0.009406
                      5,                 1.0519,                0.97511,                 1.2252,                0.87567,                  0.812,                0.86772,                0.64338,                0.89554,                0.73739,                 1.1116,               0.009208,               0.009208,               0.009208
                      6,                0.98674,                0.89495,                 1.1867,                0.87355,                  0.798,                0.85663,                0.66649,                0.85456,                0.69742,                 1.0645,                0.00901,                0.00901,                0.00901
                      7,                0.94179,                0.84783,                 1.1629,                0.89125,                   0.86,                0.89811,                0.70568,                0.77786,                0.60596,                 1.0373,               0.008812,               0.008812,               0.008812
                      8,                0.89502,                0.79544,                 1.1318,                0.92439,                0.85576,                 0.9223,                0.74951,                0.71982,                0.52491,                0.99687,               0.008614,               0.008614,               0.008614
                      9,                0.87862,                 0.7719,                  1.125,                0.91144,                0.84393,                0.91828,                0.74577,                0.70585,                 0.5667,                0.98698,               0.008416,               0.008416,               0.008416
                     10,                0.85753,                0.75042,                 1.1125,                0.91975,                0.89395,                0.92932,                0.77716,                0.65371,                0.49222,                0.96539,               0.008218,               0.008218,               0.008218
                     11,                 0.8361,                0.72837,                 1.1017,                0.91401,                0.87155,                0.93748,                0.78537,                0.64203,                0.49029,                0.95843,                0.00802,                0.00802,                0.00802
                     12,                0.81239,                0.70577,                 1.0884,                0.94633,                0.88162,                0.94713,                0.80558,                0.59273,                0.45131,                0.92803,               0.007822,               0.007822,               0.007822
